,precision,recall,f1-score,support
BENIGN,0.9990025770735897,0.9991647017269195,0.9990836328231268,209506.0
DoS,0.9976294769389332,0.9992257664911738,0.9984269836767322,19374.0
DDoS,0.9994533812275496,0.9998437622060776,0.9996485336040927,12801.0
Brute Force,1.0,0.9956284153005465,0.9978094194961665,915.0
Web Attack,0.8073394495412844,0.40930232558139534,0.5432098765432098,215.0
Infiltration,1.0,0.5,0.6666666666666666,4.0
Botnet,0.9251700680272109,0.6974358974358974,0.7953216374269005,195.0
Port Scan,0.9895185063871602,0.9993384055573933,0.9944042132982225,9069.0
accuracy,0.9984528659666215,0.9984528659666215,0.9984528659666215,0.9984528659666215
macro avg,0.9647641823994659,0.8249924092874255,0.8743213704418897,252079.0
weighted avg,0.9983617818661217,0.9984528659666215,0.9983371592926158,252079.0
